transaction_id,date,branch,type,account_name,category_name,contact_name,reference_number,payment_method,description,amount,status,bank_account,is_reconciled,notes
T00014,2026-06-27,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0014,Paybill,Daily sales deposit for Karen,34000,Posted,KCB Business Current Account,True,
T00015,2026-06-01,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0015,Paybill,Daily sales deposit for Lavington,34000,Posted,KCB Business Current Account,True,
T00016,2026-06-03,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0016,Paybill,Daily sales deposit for Lavington,34000,Posted,KCB Business Current Account,True,
T00017,2026-06-05,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0017,Paybill,Daily sales deposit for Lavington,22000,Posted,KCB Business Current Account,True,
T00018,2026-06-07,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0018,Paybill,Daily sales deposit for Lavington,34000,Posted,KCB Business Current Account,True,
T00019,2026-06-09,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0019,Paybill,Daily sales deposit for Lavington,34000,Posted,KCB Business Current Account,True,
T00020,2026-06-11,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Green Gardens Estate,REF-0020,Paybill,Daily sales deposit for Lavington,34000,Posted,KCB Business Current Account,True,
T00021,2026-06-13,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0021,Paybill,Daily sales deposit for Lavington,42000,Posted,KCB Business Current Account,True,
T00022,2026-06-15,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0022,Paybill,Daily sales deposit for Lavington,56000,Posted,KCB Business Current Account,True,
T00023,2026-06-17,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0023,Paybill,Daily sales deposit for Lavington,56000,Posted,KCB Business Current Account,True,
T00024,2026-06-19,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0024,Paybill,Daily sales deposit for Lavington,67000,Posted,KCB Business Current Account,True,
T00025,2026-06-21,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Green Gardens Estate,REF-0025,Paybill,Daily sales deposit for Lavington,56000,Posted,KCB Business Current Account,True,
T00026,2026-06-23,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Cafe Bloom,REF-0026,Paybill,Daily sales deposit for Lavington,56000,Posted,KCB Business Current Account,True,
T00027,2026-06-25,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Thika Motors,REF-0027,Paybill,Daily sales deposit for Lavington,67000,Posted,KCB Business Current Account,True,
T00028,2026-06-27,Lavington,Income,Mpesa Till 123456,Food & Beverage Sales,Thika Motors,REF-0028,Paybill,Daily sales deposit for Lavington,42000,Posted,KCB Business Current Account,True,
T00029,2026-06-01,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0029,Paybill,Daily sales deposit for Lang'ata,22000,Posted,KCB Business Current Account,True,
T00030,2026-06-03,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Safari Suites,REF-0030,Paybill,Daily sales deposit for Lang'ata,42000,Posted,KCB Business Current Account,True,
T00031,2026-06-05,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Thika Motors,REF-0031,Paybill,Daily sales deposit for Lang'ata,22000,Posted,KCB Business Current Account,True,
T00032,2026-06-07,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0032,Paybill,Daily sales deposit for Lang'ata,42000,Posted,KCB Business Current Account,True,
T00033,2026-06-09,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0033,Paybill,Daily sales deposit for Lang'ata,22000,Posted,KCB Business Current Account,True,
T00034,2026-06-11,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0034,Paybill,Daily sales deposit for Lang'ata,42000,Posted,KCB Business Current Account,True,
T00035,2026-06-13,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0035,Paybill,Daily sales deposit for Lang'ata,42000,Posted,KCB Business Current Account,True,
T00036,2026-06-15,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0036,Paybill,Daily sales deposit for Lang'ata,67000,Posted,KCB Business Current Account,True,
T00037,2026-06-17,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Nairobi Startup Hub,REF-0037,Paybill,Daily sales deposit for Lang'ata,56000,Posted,KCB Business Current Account,True,
T00038,2026-06-19,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Westlands Co-working,REF-0038,Paybill,Daily sales deposit for Lang'ata,22000,Posted,KCB Business Current Account,True,
T00039,2026-06-21,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0039,Paybill,Daily sales deposit for Lang'ata,22000,Posted,KCB Business Current Account,True,
T00040,2026-06-23,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0040,Paybill,Daily sales deposit for Lang'ata,67000,Posted,KCB Business Current Account,True,
T00041,2026-06-25,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Safari Suites,REF-0041,Paybill,Daily sales deposit for Lang'ata,56000,Posted,KCB Business Current Account,True,
T00042,2026-06-27,Lang'ata,Income,Mpesa Till 123456,Food & Beverage Sales,Jua Kali Office,REF-0042,Paybill,Daily sales deposit for Lang'ata,22000,Posted,KCB Business Current Account,True,
T00043,2026-06-14,Karen,Expense,Business Current Account,Restaurant Supplies,Avocado Oils Co.,REF-0043,Bank Transfer,Supplier payment to Avocado Oils Co.,102000,Posted,KCB Business Current Account,True,
T00044,2026-06-24,Karen,Expense,Business Current Account,Restaurant Supplies,Kilimo Foods Ltd,REF-0044,Bank Transfer,Supplier payment to Kilimo Foods Ltd,125000,Posted,KCB Business Current Account,True,
T00045,2026-06-06,Karen,Expense,Business Current Account,Restaurant Supplies,Bright Kitchen Equipment,REF-0045,Bank Transfer,Supplier payment to Bright Kitchen Equipment,58000,Posted,KCB Business Current Account,True,
T00046,2026-06-06,Karen,Expense,Business Current Account,Restaurant Supplies,Nairobi Food Wholesalers,REF-0046,Bank Transfer,Supplier payment to Nairobi Food Wholesalers,45000,Posted,KCB Business Current Account,True,
T00047,2026-06-20,Karen,Expense,Business Current Account,Restaurant Supplies,Tusk Tea Distributors,REF-0047,Bank Transfer,Supplier payment to Tusk Tea Distributors,58000,Posted,KCB Business Current Account,True,
T00048,2026-06-19,Karen,Expense,Business Current Account,Restaurant Supplies,Chef's Choice Logistics,REF-0048,Bank Transfer,Supplier payment to Chef's Choice Logistics,58000,Posted,KCB Business Current Account,True,
T00049,2026-06-26,Lavington,Expense,Business Current Account,Restaurant Supplies,Avocado Oils Co.,REF-0049,Bank Transfer,Supplier payment to Avocado Oils Co.,76000,Posted,KCB Business Current Account,True,
T00050,2026-06-24,Lavington,Expense,Business Current Account,Restaurant Supplies,Tusk Tea Distributors,REF-0050,Bank Transfer,Supplier payment to Tusk Tea Distributors,102000,Posted,KCB Business Current Account,True,
T00051,2026-06-14,Lavington,Expense,Business Current Account,Restaurant Supplies,Bright Kitchen Equipment,REF-0051,Bank Transfer,Supplier payment to Bright Kitchen Equipment,58000,Posted,KCB Business Current Account,True,
T00052,2026-06-17,Lavington,Expense,Business Current Account,Restaurant Supplies,Kilimo Foods Ltd,REF-0052,Bank Transfer,Supplier payment to Kilimo Foods Ltd,76000,Posted,KCB Business Current Account,True,
T00053,2026-06-18,Lavington,Expense,Business Current Account,Restaurant Supplies,Nairobi Food Wholesalers,REF-0053,Bank Transfer,Supplier payment to Nairobi Food Wholesalers,45000,Posted,KCB Business Current Account,True,
T00054,2026-06-04,Lavington,Expense,Business Current Account,Restaurant Supplies,Chef's Choice Logistics,REF-0054,Bank Transfer,Supplier payment to Chef's Choice Logistics,76000,Posted,KCB Business Current Account,True,
T00055,2026-06-25,Lang'ata,Expense,Business Current Account,Restaurant Supplies,Premier Bakery Supplies,REF-0055,Bank Transfer,Supplier payment to Premier Bakery Supplies,125000,Posted,KCB Business Current Account,True,
T00056,2026-06-16,Lang'ata,Expense,Business Current Account,Restaurant Supplies,Bright Kitchen Equipment,REF-0056,Bank Transfer,Supplier payment to Bright Kitchen Equipment,76000,Posted,KCB Business Current Account,True,
T00057,2026-06-19,Lang'ata,Expense,Business Current Account,Restaurant Supplies,Crown Event Planners,REF-0057,Bank Transfer,Supplier payment to Crown Event Planners,76000,Posted,KCB Business Current Account,True,
T00058,2026-06-16,Lang'ata,Expense,Business Current Account,Restaurant Supplies,Chef's Choice Logistics,REF-0058,Bank Transfer,Supplier payment to Chef's Choice Logistics,76000,Posted,KCB Business Current Account,True,
T00059,2026-06-10,Lang'ata,Expense,Business Current Account,Restaurant Supplies,Kilimo Foods Ltd,REF-0059,Bank Transfer,Supplier payment to Kilimo Foods Ltd,76000,Posted,KCB Business Current Account,True,
T00060,2026-06-05,Lang'ata,Expense,Business Current Account,Restaurant Supplies,Nairobi Food Wholesalers,REF-0060,Bank Transfer,Supplier payment to Nairobi Food Wholesalers,45000,Posted,KCB Business Current Account,True,
T00061,2026-06-06,Karen,Expense,Payroll Account,Payroll,Star Staff Services,REF-0061,Bank Transfer,June payroll - Karen,180000,Posted,KCB Business Current Account,True,
T00062,2026-06-03,Karen,Expense,Business Current Account,Rent,Landlord Estate,REF-0062,Bank Transfer,Branch rent for Karen,160000,Posted,KCB Business Current Account,True,
T00063,2026-06-06,Lavington,Expense,Payroll Account,Payroll,Star Staff Services,REF-0063,Bank Transfer,June payroll - Lavington,180000,Posted,KCB Business Current Account,True,
T00064,2026-06-03,Lavington,Expense,Business Current Account,Rent,Landlord Estate,REF-0064,Bank Transfer,Branch rent for Lavington,160000,Posted,KCB Business Current Account,True,
T00065,2026-06-06,Lang'ata,Expense,Payroll Account,Payroll,Star Staff Services,REF-0065,Bank Transfer,June payroll - Lang'ata,180000,Posted,KCB Business Current Account,True,
T00066,2026-06-03,Lang'ata,Expense,Business Current Account,Rent,Landlord Estate,REF-0066,Bank Transfer,Branch rent for Lang'ata,160000,Posted,KCB Business Current Account,True,
T00067,2026-06-08,Karen,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0067,Bank Transfer,Power bill payment,22000,Posted,KCB Business Current Account,True,
T00068,2026-06-13,Karen,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0068,Bank Transfer,Power bill payment,14000,Posted,KCB Business Current Account,True,
T00069,2026-06-18,Karen,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0069,Bank Transfer,Power bill payment,18000,Posted,KCB Business Current Account,True,
T00070,2026-06-24,Karen,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0070,Bank Transfer,Power bill payment,18000,Posted,KCB Business Current Account,True,
T00071,2026-06-08,Lavington,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0071,Bank Transfer,Power bill payment,12000,Posted,KCB Business Current Account,True,
T00072,2026-06-13,Lavington,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0072,Bank Transfer,Power bill payment,12000,Posted,KCB Business Current Account,True,
T00073,2026-06-18,Lavington,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0073,Bank Transfer,Power bill payment,22000,Posted,KCB Business Current Account,True,
T00074,2026-06-24,Lavington,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0074,Bank Transfer,Power bill payment,14000,Posted,KCB Business Current Account,True,
T00075,2026-06-08,Lang'ata,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0075,Bank Transfer,Power bill payment,12000,Posted,KCB Business Current Account,True,
T00076,2026-06-13,Lang'ata,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0076,Bank Transfer,Power bill payment,22000,Posted,KCB Business Current Account,True,
T00077,2026-06-18,Lang'ata,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0077,Bank Transfer,Power bill payment,18000,Posted,KCB Business Current Account,True,
T00078,2026-06-24,Lang'ata,Expense,Business Current Account,Utilities,Nairobi Energy Co.,REF-0078,Bank Transfer,Power bill payment,14000,Posted,KCB Business Current Account,True,
T00079,2026-06-12,Lavington,Expense,Owner Personal Wallet,Owner Draw,Samuel Njoroge,REF-0079,Mpesa,Owner draw for household expenses,45000,Posted,KCB Business Current Account,False,Personal withdrawal from business account
T00080,2026-06-15,Karen,Expense,Business Current Account,Restaurant Supplies,Fresh Farm Suppliers,REF-0080,Bank Transfer,Pumpkin and dairy order,92000,Posted,KCB Business Current Account,True,
T00081,2026-06-18,Karen,Expense,Business Current Account,Restaurant Supplies,Fresh Farm Suppliers,REF-0081,Bank Transfer,Duplicate supplier payment,92000,Posted,KCB Business Current Account,True,
T00082,2026-06-21,Lang'ata,Expense,Business Current Account,Repairs & Maintenance,Crown Event Planners,REF-0082,Bank Transfer,Large one-off venue setup fee,500000,Posted,KCB Business Current Account,False,Round-number payment to a service provider
T00083,2026-06-03,Karen,Expense,Branch Petty Cash,Miscellaneous,Green Gardens Estate,REF-0083,Cash,Petty cash purchase,9200,Posted,KCB Business Current Account,True,
T00084,2026-06-12,Karen,Expense,Branch Petty Cash,Miscellaneous,Green Gardens Estate,REF-0084,Cash,Petty cash purchase,5500,Posted,KCB Business Current Account,True,
T00085,2026-06-19,Karen,Expense,Branch Petty Cash,Miscellaneous,Green Gardens Estate,REF-0085,Cash,Petty cash purchase,9200,Posted,KCB Business Current Account,True,
T00086,2026-06-27,Karen,Expense,Branch Petty Cash,Miscellaneous,Cafe Bloom,REF-0086,Cash,Petty cash purchase,13500,Posted,KCB Business Current Account,True,
T00087,2026-06-03,Lavington,Expense,Branch Petty Cash,Miscellaneous,Green Gardens Estate,REF-0087,Cash,Petty cash purchase,5500,Posted,KCB Business Current Account,True,
T00088,2026-06-12,Lavington,Expense,Branch Petty Cash,Miscellaneous,Green Gardens Estate,REF-0088,Cash,Petty cash purchase,13500,Posted,KCB Business Current Account,True,
T00089,2026-06-19,Lavington,Expense,Branch Petty Cash,Miscellaneous,Cafe Bloom,REF-0089,Cash,Petty cash purchase,7800,Posted,KCB Business Current Account,True,
T00090,2026-06-27,Lavington,Expense,Branch Petty Cash,Miscellaneous,Cafe Bloom,REF-0090,Cash,Petty cash purchase,9200,Posted,KCB Business Current Account,True,
T00091,2026-06-03,Lang'ata,Expense,Branch Petty Cash,Miscellaneous,Cafe Bloom,REF-0091,Cash,Petty cash purchase,7800,Posted,KCB Business Current Account,True,
T00092,2026-06-12,Lang'ata,Expense,Branch Petty Cash,Miscellaneous,Cafe Bloom,REF-0092,Cash,Petty cash purchase,9200,Posted,KCB Business Current Account,True,
T00093,2026-06-19,Lang'ata,Expense,Branch Petty Cash,Miscellaneous,Green Gardens Estate,REF-0093,Cash,Petty cash purchase,9200,Posted,KCB Business Current Account,True,
T00094,2026-06-27,Lang'ata,Expense,Branch Petty Cash,Miscellaneous,Green Gardens Estate,REF-0094,Cash,Petty cash purchase,7800,Posted,KCB Business Current Account,True,
T00095,2026-06-10,Karen,Income,Mpesa Till 123456,Food & Beverage Sales,Safari Suites,REF-0095,Paybill,Large event order deposit,68000,Posted,KCB Business Current Account,False,Payment received but still unreconciled
